PED,lengthPED,weightPED,outer_diam
ПЭД16-117,2375,155,117
ПЭД20-117,2755,184,117
ПЭД22-117,2755,184,117
ПЭД24-117,2755,184,117
ПЭД28-117,3135,213,117
ПЭД32-117,3515,242,117
ПЭД36-117,3895,271,117
ПЭД40-117,4275,300,117
ПЭД12-117,1995,126,117
ПЭД45-117,4655,329,117
ПЭД50-117,5035,358,117
ПЭД56-117,5415,387,117
ПЭД63-117,5795,416,117
ПЭД70-117,6555,478,117
ПЭД80-117,7315,543,117
ПЭД90-117,7695,573,117
ПЭД100-117,7695,573,117
ПЭД110-117,7695,577,117
ПЭД125-117,7695,578,117
ПЭД140-117,8455,643,117
ПЭД160-117,14474,1048,117
ПЭД180-117,15234,1104,117
ПЭД200-117,15234,1104,117
ПЭД220-117,15994,1160,117
ПЭД250-117,15994,1160,117
ПЭД220-117,15944,1160,117
ПЭД250-117,15944,1160,117
ПЭД140-130,6778,603,130
ПЭД150-130,7273,647,130
ПЭД160-130,7768,691,130
ПЭД180-130,8263,737,130
ПЭД250-130,12466,1125,130
ПЭД300-130,14446,1285,130
ПЭД300-130,14446,1285,130
ПЭД360-130,15931,1410,130
ПЭД360-130,15931,1410,130
ПЭД250-130,12466,1125,130
ПЭД400-130,15931,1410,130
ПЭД450-130,21619,1917,130
ПЭД400-130,15931,1410,130
ПЭД450-130,21619,1917,130
ПЭД500-130,22000,2056,130
